OrgNo;FirmaNavn;Status;AntallAnsatte;OrganisasjonsformKode;Naeringskode
998201292;Rome Prosjekt AS;Slettet;;AS;
999248861;MS Bygg AS;Konkurs;;AS;41.200
937114184;Molte as;Konkurs;;AS;59.120
980029441;Kafferiet AS;Konkurs;;AS;56.101
914280737;Sviskemaskin AS;Slettet;;AS;
980436780;Gjerde Dykk og Industriservice;Aktiv;;ENK;09.109
915515770;Soltomtar AS;Slettet;;AS;
919129425;Geco Group AS;Slettet;;AS;
985225702;URD Klima Service Oppdal AS;Slettet;;AS;
919605235;AUSTGULEN OG VASSENDEN AS under avvikling;Slettet;;AS;
919665653;Christiania Balkonginglassing AS;Slettet;;AS;
996786919;3t Senior Norge AS;Aktiv;;AS;62.010
977243432;Terje Olsen;Aktiv;;ENK;59.110
918145982;Løpe AS;Aktiv;;AS;70.220
919930691;KSL AS;Aktiv;;AS;70.220
981869877;Fagmøbler Sandnessjøen (Alsten Møbelsenter AS);Slettet;;AS;
913978617;Folkeinvest Formidling AS;Aktiv;;AS;66.190
917767181;Senesa Foods AS;Slettet;;AS;
919982306;Byggtjenester Nord AS;Slettet;;AS;
975848590;Dalen Legesenter DA;Aktiv;5;DA;86.211
987297735;Selmer Nord AS;Aktiv;16;AS;56.102
974370964;KL Transport AS;Aktiv;;AS;49.410
990693633;Astrid Trondsen AS;Aktiv;;AS;86.909
912800261;R. Nikolaisen AS;Slettet;;AS;
884580412;Kristina Almestad EPF;Slettet;;ENK;
967008605;Gjengstø Maskinstasjon;Aktiv;;ENK;49.410
993034320;Odd I. Invest AS;Slettet;;AS;
914070317;Pomodoro AS;Slettet;;AS;
911797259;Prinsdal apotek AS;Slettet;;AS;
912456951;Minimeis AS;Slettet;;AS;
883983092;Eide Gard;Slettet;;ENK;
920271596;Grube Bygg og Maskin AS;UnderAvvikling;;AS;41.200
919909730;Isme Film AS;UnderAvvikling;;AS;59.110
989211870;Robust Invest AS;Aktiv;;AS;71.121
916998236;WRH AS;Aktiv;;AS;62.010
919090502;Jk. Holter Holding AS;Slettet;;AS;
883098692;Gaute Hesthagen;Aktiv;;ENK;90.011
917330212;Gildefjell AS;Aktiv;;AS;43.120
997050568;Fagholding AS;Slettet;;AS;
920692834;Solhaug Utvikling AS;Aktiv;;AS;41.109
995469987;Torptech AS;Aktiv;;AS;70.220
914384729;Nord og ned AS;Aktiv;;AS;62.020
921041527;RØFSDALSKRAFT EIGARSELSKAP AS;Slettet;;AS;
936757499;Tinde Design & Trykk AS;Slettet;;AS;
920933963;Åsen Apotek AS;Slettet;;AS;
986189734;Pelister AS, c/o Stefan Popovski;Aktiv;;AS;81.109
982744288;Lasse Kristiansen Alt Innen Bygg;Slettet;;ENK;
916283636;Gry Andersen Velvære;Aktiv;;ENK;96.020
920597033;SS Fisk AS;Slettet;;AS;
992254467;Digirehab AS;Slettet;;AS;
995497212;Stor-Oslo Grunnentreprise AS;Konkurs;;AS;43.120
984600127;Saga Media Service;Aktiv;;ENK;62.020
815265262;Åstorp Gård ANS;Aktiv;;ANS;68.209
920610447;BAHR EIENDOM AS;Aktiv;;AS;68.209
921560192;Aktiv Boligfornying AS;Aktiv;;AS;43.320
988024325;Mco Bygg AS - 988 024 325;Slettet;;AS;
989810375;Tømrer Duda;Aktiv;;ENK;41.200
920069797;SIA EXPRESS ANDREASSEN;Slettet;;ENK;
914456975;Bømlo Fiskeredskap AS under avvikling;Slettet;;AS;
912434443;Spondyloartrittforbundet Norge;Aktiv;;FLI;94.991
984698119;Documed AS;Slettet;;AS;
998076676;Barn og Baby AS;Slettet;;AS;
994674439;Glamitec AS;Slettet;;AS;
892581762;Sameiet Øvre Storgate 26;Aktiv;;ESEK;68.320
918108858;Strandgaten 72-74 AS;Aktiv;;AS;68.209
920904297;Nyskapende Technologi AS;UnderAvvikling;;AS;71.129
999539912;Istyrelsen AS;Aktiv;;AS;70.220
921726317;Srs Maskin & Utstyrsalg AS;Aktiv;;AS;46.140
916610904;Råkk Huset AS;Aktiv;;AS;55.101
920794157;Haulotte Scandinavia AB;Slettet;;NUF;
821568242;Vamo AS;Aktiv;6;AS;03.111
921782306;Ravn Profil As;Slettet;;AS;
921785127;Evil Investment Corp AS;Aktiv;;AS;64.308
980252256;Mat og Atferd;Aktiv;;FLI;94.991
997892372;Vadsø Fjordhotell AS(under avvikling);Slettet;;AS;
911722003;Coda Forms AS;Slettet;;AS;
920202640;Nordlys Trafikksenter AS;Slettet;;AS;
919667265;Brass Tacks AS;Slettet;;AS;
957216145;Kile Stig-Harald;Aktiv;;ENK;49.320
915053920;Innlagveien 2 AS;Aktiv;;AS;68.209
921552742;Sterg AS;Aktiv;;AS;41.109
915203280;BELL Consulting AS;Aktiv;;AS;70.220
915946291;Hydla Aktiv AS;Slettet;;AS;
995101882;Mia Skagefoss;Slettet;;ENK;
982446333;Byggmester Kompaniet AS;Slettet;;AS;
